track_id,title,artist,artist2,lang,genre,Years,album,hp_status,rs_score,complex_score,user_rating,hp_score
1000,Somebody That I Used To Know,Gotye,Kimbal,English,Indie Pop,2011,Making Mirrors,yes,,,5.0,3
999,Yellow,Coldplay,,English,Alternative Rock,2000,Parachutes,yes,305,,4.0,3
998,Bombay Theme,AR Rahman,,Hindi,Instrumental,1995,Bombay (Soundtrack),yes,,,4.5,3
997,Clocks,Coldplay,,English,Alternative Rock,2002,A Rush of Blood to the Head,yes,,,5.0,2
996,Highway to Hell,AC/DC,,English,Hard Rock,1979,Highway to Hell,yes,254,,3.5,4
995,Breathless,Shankar Mahadevan,,Hindi,Pop,2000,Breathless,yes,,,5.0,5
994,Born in the USA,Bruce Springstein,,English,Heartland Rock,1984,Born in the U.S.A.,yes,275,,3.5,6
993,Born To Die,Lana Del Rey,,English,Baroque Pop,2012,Born to Die,yes,,,5.0,7
992,Summertime Sadness,Lana Del Rey,,English,Dream Pop,2012,Born to Die,yes,,,3.8,8
991,Young & Beautiful,Lana Del Rey,,English,Orchestral Pop,2013,The Great Gatsby (Soundtrack),yes,,,5.0,2
990,Linger,The Cranberries,,English,Alternative Rock,1993,"Everybody Else Is Doing It, So Why Can't We?",yes,,,4.3,4
989,Dreams,The Cranberries,,English,Dream Pop,1993,"Everybody Else Is Doing It, So Why Can't We?",yes,,,5.0,6
988,Zombie,The Cranberries,,English,Alternative Rock,1994,No Need to Argue,yes,,,4.2,5
987,What a Wonderful World,Louie Armstrong,,English,Jazz,1967,What a Wonderful World,yes,171,987,5.0,7
986,"Paint It, Black",The Rolling Stones,,English,Rock,1966,Aftermath,yes,105,,4.2,3
985,Ob-La-Di,The Beatles,,English,Pop Rock,1968,The Beatles (The White Album),yes,,,5.0,6
984,Hey Jude,The Beatles,,English,Pop Rock,1968,Single (Not part of a studio album),yes,7,,4.8,7
983,I Will Always Love You,Whitney Houston,,English,Pop,1992,The Bodyguard (Soundtrack),yes,94,977,5.0,8
982,Bad Girls,MIA,,English,Disco,2012,Matangi,yes,,,4.7,8
981,Goo Goo Dolls,Iris,,English,Alternative Rock,1995,Dizzy Up the Girl,Yes,,,3.8,7
980,I Can’t Deny It,Fabolous,,English,Pop Rock,2000,Ghetto Fabolous,no,,,3.9,6
979,Tere Bina,AR Rahman,,Hindi,Bollywood,2007,Guru,no,,,3.4,7
978,Espresso,Sabrina Carpenter,,English,Electronic,2023,Short n’ Sweet,no,,,4.1,8